1,2,1,984
1,4,1,9856
1,9,1,9658
2,4,1,5896
2,6,1,5896
2,7,1,8965
3,5,1,5896
3,10,1,7489
3,10,1,7489
4,1,1,8596
4,6,1,2589
5,2,1,4589
5,9,1,1489
5,10,1,8965
6,4,1,4587
6,5,1,8965
6,6,1,7896
7,8,1,7485
8,1,1,7486
8,2,1,7485
8,5,1,9658
8,8,1,8956
9,2,1,7845
9,9,1,8963
9,10,1,7485
10,10,1,4785
11,5,1,9856
11,7,1,8947
11,3,1,5578
12,6,1,7789
12,5,1,8495
13,3,1,5298
13,8,1,4759
13,1,1,2354
14,2,1,4985
15,4,1,3258
15,7,1,2589
15,10,1,2593
16,3,1,1147
16,7,1,9564
16,10,1,4498
17,1,1,7749
18,2,1,9658
19,1,1,1578
20,2,1,4589
20,6,1,8847
