0
"1,35,1"
"1,18,1"
"1,25,1"
"1,11,1"
"1,30,1"
"1,17,1"
"2,4,1"
"2,2,1"
"2,12,1"
"2,36,1"
"2,0,1"
"2,1,1"
"3,13,1"
"3,28,1"
"3,20,1"
"3,9,1"
"3,33,1"
"3,1,1"
"4,2,1"
"4,24,1"
"4,4,1"
"4,17,1"
"4,35,1"
"4,32,1"
"5,28,1"
"5,7,1"
"5,3,1"
"5,2,1"
"5,8,1"
"5,13,1"
"6,19,1"
"6,9,1"
"6,16,1"
"6,29,1"
"6,20,1"
"6,26,1"
"7,31,1"
"7,21,1"
"7,23,1"
"7,25,1"
"7,17,1"
"7,15,1"
"8,12,1"
"8,8,1"
"8,24,1"
"8,7,1"
"8,18,1"
"8,9,1"
"9,24,1"
"10,35,1"
"10,25,1"
"10,5,1"
"10,3,1"
"10,7,1"
"10,32,1"
"11,20,1"
"11,6,1"
"11,33,1"
"11,3,1"
"11,21,1"
"11,15,1"
"12,18,1"
"12,19,1"
"12,16,1"
"12,23,1"
"12,4,1"
"12,34,1"
"13,11,1"
"13,21,1"
"13,6,1"
"13,27,1"
"13,33,1"
"13,13,1"
"14,15,1"
"15,12,1"
"15,27,1"
"15,28,1"
"15,8,1"
"15,29,1"
"15,14,1"
"16,27,1"
"16,6,1"
"16,34,1"
"16,14,1"
"16,29,1"
"16,1,1"
"17,22,1"
"17,19,1"
"17,31,1"
"17,11,1"
"17,32,1"
"17,0,1"
"18,36,1"
"18,22,1"
"18,10,1"
"18,23,1"
"18,0,1"
"18,30,1"
"19,34,1"
"19,30,1"
"19,5,1"
"19,36,1"
"20,16,1"
"20,10,1"
"20,5,1"
"20,26,1"
"20,22,1"
"20,14,1"
